exhaustive_language_rows=82
002 | README.md | 149 | ja-bare-directive-bullet | - 「露出」「経験」「機会」を自動的に搾取と分類しない。条件確認を代替しているかを観測する。
002 | README.md | 150 | ja-bare-directive-bullet | - 人物を自動的に加害者・被害者へ分類しない。
002 | README.md | 152 | ja-bare-directive-bullet | - 感情的な不満の正当化だけに使わない。
002 | README.md | 153 | ja-bare-directive-bullet | - 派生物の説明上の便宜を親原典の追加主張として扱わない。
002 | ai-index.md | 145 | ja-bare-directive-bullet | - 称賛の存在だけで搾取と分類しない。
002 | ai-index.md | 149 | ja-bare-directive-bullet | - 人物を自動的に加害者・被害者へ分類しない。
002 | ai-index.md | 158 | ja-creator-or-ai-directive | 本索引は親原典の代替ではない。AKI-002の厳密な語彙、悪因果論全体での位置づけ、称賛・価値帰属・権利・継続対価の意味境界、起源署名、参照束、改訂文脈はParent URLへ戻って確認する。Parent NCL-ID / Parent Diff-ID / Parent Post IDを保持し、原典外の要約や構造化が原典以上の断定になっていないことを確認する。
003 | README.md | 163 | ja-bare-directive-bullet | - 「視野が狭い人が悪い」という人物批判へ変えない。
003 | README.md | 165 | ja-bare-directive-bullet | - 「全部を知る人を置けばよい」という全知要求へ変えない。
003 | README.md | 168 | ja-bare-directive-bullet | - L1〜L6を単なる抽象度分類やラベル付けとして扱わない。
003 | ai-index.md | 175 | ja-bare-directive-bullet | - L1〜L6を単なる抽象度分類として扱わない。
003 | ai-index.md | 177 | ja-bare-directive-bullet | - AIを自動的に局所全体化の原因と断定しない。
003 | ai-index.md | 186 | ja-creator-or-ai-directive | 本索引は親原典の代替ではない。局所全体化、分散的全体誤認、局所正解／全体不成立、判定視座の希少性、合意形成の理解可能性、L1〜L6の厳密な位置、A系司法OSや人類子孫型AI文明論との参照関係、起源署名、改訂文脈はParent URLへ戻って確認する。Parent Post ID 4571、Parent NCL-ID、Parent Diff-IDを保持し、第0論が後続論へ渡す未確定部分を親原典が確定事項へ変えない。
004 | README.md | 127 | ja-bare-directive-bullet | - Origin批判をOrigin消去へ変えず、Origin保持をOrigin崇拝へ変えない。
004 | README.md | 167 | ja-bare-directive-bullet | - 特定AIモデルが本原典を学習したと断定しない。
004 | human-entry.md | 96 | ja-bare-directive-bullet | - 特定AIがこの原典を学習済みだと断定しない。
004 | ai-index.md | 219 | ja-bare-directive-bullet | - 特定AIモデルが本原典を学習したと断定しない。
005 | README.md | 159 | ja-bare-directive-bullet | - 完全解を持たない発言を自動的に無責任と分類しない。
